Commonname(query)	ORF(query)	Description(query)	Alias(query)	Commonname(array)	ORF(array)	Description(array)	Alias(array)	SGA epsilon scores	P-value
rna15-58	YGL044C	Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.194	0.00001243
SWP1_damp	YMR149W	Delta subunit of the oligosaccharyl transferase glycoprotein complex, which is required for N-linked glycosylation of proteins in the endoplasmic reticulum		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.195	0.0000000000001412
taf6-ts	YGL112C	Subunit (60 kDa) of TFIID and SAGA complexes, involved in transcription initiation of RNA polymerase II and in chromatin modification, similar to histone H4	TafII60|TAF60	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.201	0.0000004546
cog3-1	YER157W	Essential component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	SEC34|GRD20	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.203	0.0009418
SRP101_damp	YDR292C	Signal recognition particle (SRP) receptor alpha subunit; contain GTPase domains; involved in SRP-dependent protein targeting; interacts with the beta subunit, Srp102p		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.205	0.0000000001836
apc5-CA	YOR249C	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; relative distribution to nuclear foci decreases upon DNA replication stress	RMC1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.205	0.003205
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	FUM1	YPL262W	Fumarase, converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-terminal targeting sequence, protein conformation, and status of glyoxylate shunt; phosphorylated in mitochondria		0.21	0.004462
ame1-4	YBR211C	Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress	ARP100	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.213	0.001235
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YGL024W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF PGD1/YGL025C	SST3	0.215	0.00005428
PGA3_damp	YML125C	Putative cytochrome b5 reductase, localized to the plasma membrane; may be involved in regulation of lifespan; required for maturation of Gas1p and Pho8p, proposed to be involved in protein trafficking; PGA3 has a paralog, AIM33, that arose from the whole genome duplication	NQR1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.233	2.09E-028
TSC13_damp	YDL015C	Enoyl reductase; catalyzes the last step in each cycle of very long chain fatty acid elongation; localizes to the ER, highly enriched in a structure marking nuclear-vacuolar junctions; coimmunoprecipitates with elongases Fen1p and Sur4p; protein increases in abundance and relative distribution to ER foci increases upon DNA replication stress		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.237	0.000000002315
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	BUD31	YCR063W	Component of the SF3b subcomplex of the U2 snRNP; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; facilitates passage through G1/S Start, but is not required for G2/M transition or exit from mitosis	CWC14	0.255	0.0006729
